"","date","temp","rhum","rain","solar","wdspd","wddir","stna","DayNo","irish_rules","dk_daily_spor","dk_infpressure"
"1",2017-06-05 00:00:00,13.4,90,0.5,0,6,21,"MoorePark",156,0,NA,0
"2",2017-06-05 01:00:00,13.6,87,0.4,0,7,20,"MoorePark",156,0,NA,0
"3",2017-06-05 02:00:00,13.3,88,0.2,0,7,22,"MoorePark",156,0,NA,0
"4",2017-06-05 03:00:00,12.9,86,0.1,0,7,23,"MoorePark",156,0,NA,0
"5",2017-06-05 04:00:00,12,92,1.5,1.2,6,26,"MoorePark",156,0,NA,0
"6",2017-06-05 05:00:00,11.1,89,0.1,11.2,3,28,"MoorePark",156,0,NA,0
"7",2017-06-05 06:00:00,11.2,90,0,32.1,2,34,"MoorePark",156,0,NA,0
"8",2017-06-05 07:00:00,11.8,84,0,67.8,1,25,"MoorePark",156,0,NA,0
"9",2017-06-05 08:00:00,12.6,80,0,89.1,2,25,"MoorePark",156,0,NA,0
"10",2017-06-05 09:00:00,13.2,77,0,97.8,2,29,"MoorePark",156,0,NA,0
"11",2017-06-05 10:00:00,13.5,76,0,55.3,2,3,"MoorePark",156,0,NA,0
"12",2017-06-05 11:00:00,13.1,80,0.4,46.1,2,2,"MoorePark",156,0,NA,0
"13",2017-06-05 12:00:00,12.4,87,2.4,74.3,4,3,"MoorePark",156,0,0,0
"14",2017-06-05 13:00:00,12.2,87,1,49.8,9,2,"MoorePark",156,0,NA,0.5
"15",2017-06-05 14:00:00,11.1,86,1,42,9,34,"MoorePark",156,0,NA,1
"16",2017-06-05 15:00:00,9.7,85,1.9,29.8,11,32,"MoorePark",156,0,NA,1.5
"17",2017-06-05 16:00:00,9.2,88,2.1,22.9,9,32,"MoorePark",156,0,NA,2
"18",2017-06-05 17:00:00,10,89,0.9,23.8,5,32,"MoorePark",156,0,NA,2.5
"19",2017-06-05 18:00:00,10.8,88,0.3,16.8,9,30,"MoorePark",156,0,NA,3
"20",2017-06-05 19:00:00,10,86,0.7,12.8,8,31,"MoorePark",156,0,NA,3.5
"21",2017-06-05 20:00:00,10.1,85,0.6,5.5,10,29,"MoorePark",156,0,NA,4
"22",2017-06-05 21:00:00,10.6,82,0.1,0,13,29,"MoorePark",156,0,NA,4.5
"23",2017-06-05 22:00:00,10.4,84,0.3,0,11,30,"MoorePark",156,0,NA,5
"24",2017-06-05 23:00:00,10,83,0.7,0,8,29,"MoorePark",156,0,NA,5.5
"25",2017-06-06 00:00:00,9.3,86,0,0,9,27,"MoorePark",157,0,NA,6
"26",2017-06-06 01:00:00,9,86,0,0,9,29,"MoorePark",157,0,NA,6.5
"27",2017-06-06 02:00:00,8.9,88,0,0,9,28,"MoorePark",157,0,NA,7
"28",2017-06-06 03:00:00,8.5,88,0,0,6,27,"MoorePark",157,0,NA,7.5
"29",2017-06-06 04:00:00,8.7,92,0.4,11.2,9,28,"MoorePark",157,0,NA,8
"30",2017-06-06 05:00:00,8.5,88,0.6,14.3,12,28,"MoorePark",157,0,NA,8.5
"31",2017-06-06 06:00:00,8.8,91,0,83.3,8,28,"MoorePark",157,0,NA,9
"32",2017-06-06 07:00:00,10.6,84,0.1,133.5,13,28,"MoorePark",157,0,NA,9.5
"33",2017-06-06 08:00:00,11.4,81,0,133.7,13,27,"MoorePark",157,0,NA,10
"34",2017-06-06 09:00:00,12.6,76,0.2,181.1,11,29,"MoorePark",157,0,NA,10.5
"35",2017-06-06 10:00:00,12.6,71,0,285.3,15,29,"MoorePark",157,0,NA,11
"36",2017-06-06 11:00:00,13.5,67,0,194.1,17,29,"MoorePark",157,0,NA,11.5
"37",2017-06-06 12:00:00,10.4,84,0.6,240.5,14,30,"MoorePark",157,0,0,12
"38",2017-06-06 13:00:00,14,70,0,282.8,14,28,"MoorePark",157,0,NA,12
"39",2017-06-06 14:00:00,14.8,60,0,259.6,19,28,"MoorePark",157,0,NA,12
"40",2017-06-06 15:00:00,15.4,62,0.1,150.1,15,28,"MoorePark",157,0,NA,12
"41",2017-06-06 16:00:00,12.2,80,0.2,198.1,11,29,"MoorePark",157,0,NA,12
"42",2017-06-06 17:00:00,13.7,66,0,140.9,15,27,"MoorePark",157,0,NA,12
"43",2017-06-06 18:00:00,13.7,64,0,58.4,14,29,"MoorePark",157,0,NA,12
"44",2017-06-06 19:00:00,13,72,0,46.4,12,29,"MoorePark",157,0,NA,12
"45",2017-06-06 20:00:00,12.2,72,0,6.2,10,28,"MoorePark",157,0,NA,12
"46",2017-06-06 21:00:00,10.7,81,0,0,8,28,"MoorePark",157,0,NA,12
"47",2017-06-06 22:00:00,9.8,84,0,0,8,27,"MoorePark",157,0,NA,12
"48",2017-06-06 23:00:00,8.8,90,0,0,4,29,"MoorePark",157,0,NA,12
"49",2017-06-07 00:00:00,8.4,88,0,0,6,27,"MoorePark",158,0,NA,12
"50",2017-06-07 01:00:00,7.6,90,0,0,3,33,"MoorePark",158,0,NA,12
"51",2017-06-07 02:00:00,6.9,92,0,0,2,35,"MoorePark",158,0,NA,12
"52",2017-06-07 03:00:00,6.2,93,0,0,1,27,"MoorePark",158,0,NA,12
